INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,125 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:33)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 获取时间段内的销售总额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,126 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:61)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 赋予每个月对应的销售额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,126 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:25)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 开始计算每月销售量
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,129 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:33)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 获取时间段内的销售总额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,130 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:61)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 赋予每个月对应的销售额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,131 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:25)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 开始计算每月销售量
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,134 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:33)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 获取时间段内的销售总额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,134 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:61)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 赋予每个月对应的销售额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,135 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:25)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 开始计算每月销售量
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,137 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:33)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 获取时间段内的销售总额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,138 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:61)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 赋予每个月对应的销售额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,138 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:25)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 开始计算每月销售量
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,157 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:33)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 获取时间段内的销售总额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,158 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:61)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 赋予每个月对应的销售额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,159 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:25)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 开始计算每月销售量
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,162 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:33)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 获取时间段内的销售总额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,163 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:61)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 赋予每个月对应的销售额
STATUS | wrapper  | 2017/09/05 17:17:37 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/09/05 17:17:37 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2017/09/05 17:17:37 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
